name,affiliation
Miao Fu,Hunan University
Miao Zhao,The Hong Kong Polytechnic University
Michael H. Smith,University of California - Berkeley
Michael J. Lanham,United States Military Academy
Michael Muhlmeyer,California State University at Los Angeles
Miguel Ángel Sotelo,Polytechnic School University of Alcalá
Min Gu,Nanjing University
Min Jiang 0005,Xiamen University
Min Long,Boise State University
Min Zhan,Sichuan University
Min Zhou 0003,Beijing Jiaotong University
Minfeng Zhu,Zhejiang University
Ming Xu 0008,Tsinghua University
Mingchu Li,Dalian University of Technology
Minghao Zhao 0002,Zhejiang University
Mingjie Ling,Zhejiang Sci-Tech University
Mingliang Xu,Zhengzhou University
Mingming Chen,Tsinghua University
Mingming Zhou,Zhejiang University
Minh Hoang Trinh,Hanoi University of Science and Technology
Mizanur Rahman,Florida International University
Mo M. Jamshidi,University of Texas at San Antonio
Mohamad Jaber 0001,American University of Beirut
Mohamed E. Abd Elaziz,Zagazig University
Mohamed Y. Tazkarji,Louisiana Tech University
Mohammad Ali Manouchehri,Shiraz University
Mohammad Ehsan Basiri,Shahrekord University
Mohammad Javad Yazdanpanah,University of Tehran
Mohammad Mehedi Hassan,King Saud University
Mohammad Reza Nosouhi,University of Technology Sydney
Mohammad Sadegh Helfroush,Shiraz University
Mohammad Taghi Hajiaghayi,University of Maryland - College Park
MohammadAmin Fazli,Sharif University of Technology
Mohsen Guizani,Qatar University
Moloud Abdar,University of Quebec in Montreal
Mona Assarandarban,University of Cincinnati
Monica Tatiana Perdomo,University of Ibagué
Moojan Ghafurian,University of Waterloo
Moumita Basu,University of Engineering and Management
Mounir Frikha,University of Carthage
Muddesar Iqbal,London South Bank University
Muhammad Imran 0002,Qatar Computing Research Institute
Muhammad Iqbal,University of Sargodha
Muhammad Kazim,University of Derby
Muhammad Shahrose Khan,National University of Computer and Emerging Sciences
Munindar P. Singh,North Carolina State University
My T. Thai,University of Florida
Mykola Hayvanovych,Johns Hopkins University
Naimisha Kolli,Indian Institute of Science
Naiqi Wu,Guangdong University of Technology
Nan Niu,University of Cincinnati
Nan-Ning Zheng 0001,Xi'an Jiaotong University
Nancy E. Avis,Wake Forest School of Medicine
Nathan Henderson,Brandon University
Naveen Saini,Indian Institute of Technology Patna
Navneet Goyal,BITS Pilani
Negar Foroutan Eghlidi,Shiraz University
Nei Kato,Tohoku University
Neil Y. Yen,University of Aizu
Nemi Chandra Rathore,IIT Patna
Ngot Bui,Pennsylvania State University
Nianxia Cao,Syracuse University
Nicholas A. Ballester,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Nicholaus J. Gati,Huazhong University of Science and Technology
Nicholson T. Collier,Argonne National Laboratory
Nicolas Tsapatsoulis,Cyprus University of Technology
Nikhil Cheke,IIT Patna
Nikos E. Mastorakis,Technical University of Sofia
Nikos Tziritas,Chinese Academy of Sciences
Niloy Ganguly,IIT Kharagpur
Nirmalya Chowdhury,Jadavpur University
Nisheeth Joshi,Banasthali Vidyapith
Noel Sardana,University of Waterloo
Noha Alduaiji,Majmaah University
Norbou Buchler,U.S. Army Research Laboratory
Noseong Park,University of Maryland - College Park
Nuria Oliver,Telefónica Research
Nuttirudee Charoenruk,Chulalongkorn University
Nyothiri Aung,University of Science and Technology Beijing
Oishik Chatterjee,Jadavpur University
Olaf Flak,University of Silesia
Omar Mehio,American University of Beirut
Oren Lederman,Massachusetts Institute of Technology
Paige Phillips,University of Guelph
Palash Goyal,University of Southern California
Pamela Bilo Thomas,University of Notre Dame
Pan Hui 0001,University of Helsinki
Pan Li 0001,Case Western Reserve University
Paolo Bolzern,Politecnico di Milano
Partha Pratim Roy 0001,IIT Roorkee
Patrick Benavidez,University of Texas at San Antonio
Patrizio Colaneri,Politecnico di Milano
Paul Rad,University of Texas at San Antonio
Paul Wagenseller III,Arizona State University
Paulo Jorge Leitão Adeodato,UFPE
Pawan Goyal 0002,IIT Kharagpur
Pawan Kumar Verma,GLA University
Pawel Sniatala,Poznan University of Technology
Pei Lv,Zhengzhou University
Pei-Yuan Zhou,The Hong Kong Polytechnic University
Peijun Ye,Chinese Academy of Sciences
Peikun Ni,Chinese Academy of Sciences
Peiyun Zhang,Anhui Normal University
Peng Peng,Zhejiang University
Pete Burnap,Cardiff University
Peter W. Eklund,Deakin University
Peter Willett 0001,University of Connecticut
Petros A. Ioannou,University of Southern California
Philip S. Yu,University of Illinois at Chicago
Philipp Singer,Graz University of Technology
Piao Chen,Institute of High Performance Computing
Pinaki Mitra,IIT Guwahati
Ping Deng,Southwest Jiaotong University
Ping Zhao,Donghua University
Ping-En Lu,National Tsing Hua University
Po Yang 0001,Liverpool John Moores University
Poonam Goyal,BITS Pilani
Poonam Yadav,University of Cambridge
Pouria Babvey,Stevens Institute of Technology
Prabhat Kumar,National Institute of Technology
Pradumn Kumar Pandey,IIT Roorkee
Pramod K. Varshney,Syracuse University
Pranjal Gupta,BITS Pilani
Prannay Khosla,IIT Kanpur
Prasenjit Mitra,Pennsylvania State University
Prasoon Gupta,National Institute of Technology
Prateek Agrawal,Lovely Professional University
Pratik Chattopadhyay,IIT (BHU) Varanasi
Prem Prakash Jayaraman,Massachusetts Institute of Technology
Prerna Kaushik,BITS Pilani
Pu Wang,Central South University
Pushpak Bhattacharyya,IIT Patna
Qi Kang,Tongji University
Qi Luo,Shandong University
Qi Meng,Beijing Jiaotong University
Qi Nie,Wuhan University
Qi Shi,Liverpool John Moores University
Qi Sun,Zhejiang Sci-Tech University
Qi Xuan,Zhejiang University
Qi Yang,Huazhong University of Science and Technology
Qi-dong Liu,Nanyang Technological University
Qian Jiang,Guangdong University of Technology
Qian Li,Beijing University of Posts and Telecommunications
Qian Li 0009,Chongqing University
Qiang He 0001,Swinburne University of Technology
Qiang Yang 0004,Zhejiang University
Qiang Zhang,Northwest Normal University
Qianlong Wang,Case Western Reserve University
Qiaohong Chen,Zhejiang Sci-Tech University
Qihao Lin,Fuzhou University
Qindong Sun,Xi'an University of Technology
Qing Qing,Dalian University of Technology
Qing Yang 0016,Tongji University
Qingchun Lu,Wuhan University
Qinghua Lu 0001,CSIRO
Qingpeng Zhang,City University of Hong Kong
Qingxiang Liu,Nanjing University
Qingzhan Zhao,Shihezi University
Qiqi Shuai,University of Hong Kong
Qiuyuan Yang,Dalian University of Technology
Qiuzhen Lin,Shenzhen University
Qizhi Fang,Ocean University of China
Quanbo Zha,Sichuan University
Quanwang Wu,Chongqing University
Quanyan Zhu,York University
Qun Jin,Waseda University
Quoc Van Tran,Gwangju Institute of Science and Technology (GIST)
Raby Hamadi,Stevens Institute of Technology
Radu Prodan,University of Klagenfurt
Ragab A. El-Sehiemy,Kafrelsheikh University
Rahul Mishra,IIT (BHU) Varanasi
Rahul Potharaju,Microsoft
Rajesh Basak,IIT Kharagpur
Rajib Bag,Supreme Knowledge Foundation Group of Institutions
Rajiv Ranjan,Newcastle University
Rajiv Ranjan Suman,National Institute of Technology
Rajkumar Das,Federation University Australia
Rajkumar Viral,Amity University
Rakesh Nagi,University of Illinois at Urbana-Champaign
Raksha Pavagada Subbanarasimha,International Institute of Information Technology
Ramesh Baral,Florida International University
Rami Puzis,Ben-Gurion University of the Negev
Ranjan Maity,IIT Guwahati
Raphaël Charbey,Telecom ParisTech
Rashmi Ranjan Rout,National Institute of Technology
Ravi S. Kudesia,Temple University
Ravi Sankar,University of South Florida
Renaud Lambiotte,University of Namur
Renjie He,National University of Defense Technology
Reza Boostani,Shiraz University
Reza Parsamehr,Polytechnic University of Madrid
Richard Dufour,Avignon University
Richard F. Deckro,Future Operations Investigation Laboratory Air Force Institute of Technology Wright-Patterson Air Force Base
Richi Nayak,Queensland University of Technology
Rick Siow Mong Goh,Institute of High Performance Computing
Rijk Mercuur,Delft University of Technology
Rimjhim,IIT Patna
Ritam Sarkar,Jadavpur University
Robert Jiqi Zhang,Massey University
Roberto Interdonato,University of Calabria
Robin Cohen,University of Waterloo
Rogério Luiz Cardoso Silva Filho,UFPE
Rogério Luís Rizzi,Western Paraná State University
Rohit Verma,IIT Kharagpur
Rong Zhang,Hangzhou Dianzi University
Rong-Kuan Shen,Shih Hsin University
Rongrong Jing,Chinese Academy of Sciences
Rongsheng Dong,Guilin University of Electronic Technology
Rongxing Lu,Nanyang Technological University
Roshanak R. Nilchiani,Stevens Institute of Technology
Roshni Chakraborty,IIT Patna
Ross Maciejewski,Arizona State University
Rounaq Choudhuri,RCC Institute of Information Technology
Roy L. Crole,University of Leicester
Rudra Pratap Ojha,Galgotias University
Rui Qin,Chinese Academy of Sciences
Rui Su,Jining Medical University
Rui Xu,Renmin University of China
Ruidong Yan,Renmin University of China
Ruihan Wu,Cornell University
Ruijin Wang,UESTC
Ruiqi Wang,University of Delaware
Ruixuan Li,Huazhong University of Science and Technology
Ruiyun Yu,Northeastern University
Rung-Ching Chen,Chaoyang University of Technology
Runhe Huang,Hosei University
Ruowei Gui,Xi'an Jiaotong University
Ruxin Wang,Chinese Academy of Sciences
Ryan Hare,Rowan University
Ryan Sequeira,IIT Patna
Ryan Wen Liu,Wuhan University
Ryosuke Harakawa,Nagaoka University of Technology
S. Andrew Gadsden,University of Guelph
S. P. Raja,Vel Tech
S. Sitharama Iyengar,Florida International University
Saad Razzaq,University of Sargodha
Sabitri Nanda Chakraborty,University of Kalyani
Sachin Grover,Carnegie Mellon University
Sadjad Tavakoli,Sharif University of Technology
Saeed Farzi,K. N. Toosi University of Technology
Sahraoui Dhelim,University of Science and Technology Beijing
Sai Avinash Sattiraju,University of Texas at Austin
Saket Kumar,Amity University
Samee U. Khan,Dakota State University
Sameera Horawalavithana,University of South Florida
Sami Abu-El-Haija,University of Southern California
Samit Bhattacharya,IIT Guwahati
Samya Muhuri,Bennett University
Sanasam Ranbir Singh,IIT Guwahati
Sancheng Peng,Guangdong University of Foreign Studies
Sandip Chakraborty,IIT Kharagpur
Sang Peter Chin,Boston University
Sanghamitra Bandyopadhyay,Indian Statistical Institute
Sanjana Kadaba Viswanath,Singapore University of Technology and Design
Sanjay Kumar,National Institute of Technology
Sanjit Kumar Setua,University of Calcutta
Sankar K. Pal,Indian Statistical Institute
Santiago Ramírez,University of Los Andes
Saptarshi Ghosh 0001,IIT Kharagpur
Saqib Rasool,University of Gujrat
Sarah A. Marshall,Wake Forest School of Medicine
Sarbani Roy,Jadavpur University
Sarika Jalan,IIT Indore
Sarit Kraus,Bar-Ilan University
Sasitharan Balasubramaniam,Waterford Institute of Technology
Sathisha Basavaraju,IIT Guwahati
Sattam Al Otaibi,Taif University
Sayan Bose,RCC Institute of Information Technology
Scott Dick,University of Alberta
Serhad Sarica,Singapore University of Technology and Design
Sethuraman Panchanathan,Arizona State University
Seyyed Hadi Sajadi,Sharif University of Technology
Sha Zhao,Zhejiang University
Shahla Nemati,Shahrekord University
Shajulin Benedict,Indian Institute of Information Technology
Shalini Priya,IIT Patna
Shamik Sural,IIT Kharagpur
Shancang Li,University of the West of England
Shanqing Yu,Zhejiang University
Shanshan Wei,Harbin Institute of Technology
Shanshan Zhao,University of the West of England
Shaohua Wan,Zhongnan University of Economics and Law
Shaojie Tang,University of Texas at Dallas
Shaowen Yu,China University of Petroleum
Shaoxiong Ji,Aalto University
Shasha Li,Zhejiang University
Shaurya Agarwal,California State University at Los Angeles
Shavak Agarwal,BITS Pilani
Shijian Li,Zhejiang University
Shijing Shen,Zhejiang University
Shilei Wang,Yanshan University
Shiping Wang,Fuzhou University
Shirui Pan,Monash University
Shiyan Hu,Michigan Technological University
Shoaib Jameel,University of Essex
Shohei Shimizu,Shiga University
Shou-De Lin,National Taiwan University
Shou-Fei Han,Nanjing University
Shravika Mittal,Indraprastha Institute of Information Technology Delhi
Shrisha Rao,International Institute of Information Technology
Shu-Sen Zhang,Renmin University of China
Shuai Cao,China University of Petroleum
Shuai Li 0002,Swansea University
Shuai Liu 0002,New York Institute of Technology
Shuai Wang 0005,Chinese Academy of Sciences
Shuai Zhang,Beihang University
Shuangshuang Han,Chinese Academy of Sciences
Shufang Wang,Henan Polytechnic University
Shui Yu,University of Technology Sydney
Shuiqiao Yang,University of Technology Sydney
Shujuan Ji,Shandong University
Shuning Huang,Soochow University
Shunli Zhang,Huazhong University of Science and Technology
Shuo Chen 0006,Nanyang Technological University
Shuo Yan,Chinese Academy of Sciences
Shuo Yu,Dalian University of Technology
Shuofeng Wang,Tsinghua University
Shuowei Chen,UESTC
Shuqi Xu,UESTC
Shuyi Lu,Shanghai Normal University
SiYa Yao,Tongji University
Siddhartha Bhattacharyya,Christ University
Sijian Lv,Hunan University
Silvio Romero de Lemos Meira,UFPE
Simona Doboli,Hofstra University
Siwei Liao,Huazhong University of Science and Technology
Smita Ghosh,University of Texas at Dallas
Somanath Tripathy,IIT Patna
Somang Nam,University of Toronto
Song Guo,The Hong Kong Polytechnic University
Songhua Xu,New Jersey Institute of Technology
Soo Yong Lim,National Taipei University
Soumya K. Ghosh 0001,IIT Kharagpur
Sourav Kumar Dandapat,IIT Patna
Sreekanth Madisetty,IIT Hyderabad
Sridhar Mandyam,International Institute of Information Technology
Srinath Srinivasa,International Institute of Information Technology
Srinka Basu,University of Kalyani
Sriparna Saha 0001,IIT Patna
Srivatsa Ramesh Jayashree,IIT Patna
Stamatios Giannoulakis,Cyprus University of Technology
Stavros Souravlas,University of Macedonia
Stephen L. France,Mississippi State University
Stephen Tang 0001,Liverpool John Moores University
Su Deng,National University of Defense Technology
Subhadeep Chakraborty,University of Tennessee
Subhasis Chakraborty,RCC Institute of Information Technology
Subhayan Bhattacharya,Jadavpur University
Subrata Nandi,National Institute of Technology
Sudhanshu Kumar 0002,IIT Roorkee
Sudip Misra,IIT Kharagpur
Sujoy Saha,National Institute of Technology
Suman Kalyan Maity,Northwestern University
Suman Kundu,Wrocław University of Science and Technology
Sumit Goswami,IIT Kharagpur
Surbhi Bhatia,King Faisal University
Surendra Sedhai,Nanyang Technological University
Surya Nepal,CSIRO
Susanta Chakraborty,Indian Institute of Engineering Science and Technology
Suzhen Huang,Central South University
Svitlana Volkova,Pacific Northwest National Laboratory
Swastik Brahma,Tennessee State University
Symeon Papavassiliou,University of Athens
Sérgio Endrigo Ferreira,UFPE
Tahereh Kamali,University of Waterloo
Tanima Dutta,IIT (BHU) Varanasi
Tanmoy Chakraborty 0002,Indraprastha Institute of Information Technology Delhi
Tao Li 0001,Florida International University
Tao Qin,Xi'an Jiaotong University
Tao Tang 0007,Dalian University of Technology
Tao Wang,National University of Defense Technology
Tapan Chowdhury,Indian Institute of Engineering Science and Technology
Tapan Kumar Saha,University of Queensland
Tasos Dagiuklas,London South Bank University
Thanasis Loukopoulos,University of Thessaly
Thomas Magelinski,Carnegie Mellon University
Tianchong Gao,Indiana University
Tianlong Gu,Guilin University of Electronic Technology
Tianlu Gao,Wuhan University
Tianrui Li 0001,Southwest Jiaotong University
Tiantian Chen,Ocean University of China
Tianxi Ji,Case Western Reserve University
Tianyu Qiu,Institute of Smart Healthcare Systems
Tianze Gao,Northwest Normal University
Tim Weninger,University of Notre Dame
Timo R. Nyberg,Aalto University
Tingnan Lin,Rutgers University
Tom Arjannikov,University of Victoria
Tom Snitch,University of Maryland - College Park
Tom Stafford 0001,Louisiana Tech University
Tong-Ying Tony Juang,National Taipei University
Torin Stepan,University of Alberta
Toshiya Hanada,Kyushu University
Tulika Saha,IIT Patna
Uboho Victor,Texas A&M University
Ujjwal Maulik,Jadavpur University
Ulrik Brandes,University of Konstanz
Usman Naseem,University of Sydney
V. S. Subrahmanian,Dartmouth College
Vairavan Murugappan,Illinois Institute of Technology
Vanilson André de Arruda Burégio,UFRPE
Vasant G. Honavar,Pennsylvania State University
Vasileios Karyotis,Ionian University
Venkat Venkatasubramanian,Columbia University
Victor C. M. Leung,Shenzhen University
Victor O. K. Li,University of Hong Kong
Victor R. L. Shen,Chaoyang University of Technology
Victor S. Sheng,Texas Tech University
Vijay Mago,Lakehead University
Vikram Krishnamurthy,University of British Columbia
Vinay Kumar,National Institute of Technology
Vincent Labatut,Avignon University
Vincenzo Piuri,University of Milan
Vinicius Cardoso Garcia,UFPE
Viresh Gupta,IIIT Delhi
Virginia Dignum,Delft University of Technology
Vitara Pungpapong,Chulalongkorn University
Vivek K. Singh,Massachusetts Institute of Technology
Vladimir Filkov,University of California - Davis
Wafa Alorainy,Cardiff University
Wanchun Dou,Nanjing University
Wanjiun Liao,National Taiwan University
Wanlei Zhou,University of Technology Sydney
Wanqiu Huang,Shanghai University
Wanyuan Wang,Southeast University
Wattana Viriyasitavat,Chulalongkorn University
Wayes Tushar,University of Queensland
Wei Chen,Microsoft
Wei Chen 0001,Zhejiang University
Wei Du 0004,Cornell University
Wei Duan,National University of Defense Technology
Wei Feng,Xidian University
Wei Gao,Singapore Management University
Wei Jing,Institute of High Performance Computing
Wei Li 0058,University of Sydney
Wei Liang,Hunan University
Wei Luo 0001,Deakin University
Wei Wang 0012,KAUST
Wei Wang 0077,Dalian University of Technology
Wei Wang 0088,Huazhong University of Science and Technology
Wei Wei 0006,Inner Mongolia University
Wei Wu,Zhejiang Sci-Tech University
Weichao Gong,Chinese Academic of Sciences
Weifeng Lv,Beihang University
Weihong Han,Guangzhou University
Weijia Jia 0001,University of Macau
Weijin Jiang,Hunan University
Weili Wu,University of Texas at Dallas
Weimin Li,Shanghai University
Weishan Zhang,China University of Petroleum
Wen Xu,Texas Woman's University
Wen Zhang 0001,Beijing University of Technology
Wen-Tai Li,Singapore University of Technology and Design
Wenbo He,McGill University
Wendong Zhang,Xinjiang University
Wenguo Yang,Chinese Academy of Sciences
Wenjia Li,University of Texas at Dallas
Wenjian Luo,Harbin Institute of Technology
Wenjie Ruan,University of Exeter
Wenjing Liu,Ocean University of China
Wenmin Lin,Hangzhou Normal University
Wenqi Shi,PLA Strategic Support Force Information Engineering University
Wenqing Cheng,Huazhong University of Science and Technology
Wentao Wang 0003,University of Cincinnati
Wenyi Tang,UESTC
Wenzhong Guo,Fuzhou University
Wesley L. Kaizer,Western Paraná State University
William A. Wallace,Rensselaer Polytechnic Institute
William Frankenstein,Georgetown University
William H. Batchelder,University of California - Irvine
William Hoiles,University of British Columbia
William M. Webberley,Cardiff University
William Zhu,UESTC
Wynn C. Stirling,Brigham Young University
Xi Lin,Shanghai Jiao Tong University
Xia Xie,Huazhong University of Science and Technology
Xiang Li 0006,Beijing University of Chemical Technology
Xiang Li 0010,Fudan University
Xiang Li 0016,Santa Clara University
Xiang Lin,Zhejiang University
Xiang Zhang 0011,Hefei University of Technology
Xiangjie Kong 0001,Dalian University of Technology
Xiangning Xu,Cornell University
Xiangrong Liu,Xiamen University
Xiangrong Tong,Yantai University
Xiangxiang Zeng,Hunan University
Xiangyang Luo,PLA Strategic Support Force Information Engineering University
Xiangyu Wei,Beijing Jiaotong University
Xianyu Chen,Xidian University
Xiao Geng,Central University of Finance and Economics
Xiao Wang,Chinese Academy of Sciences
Xiao Wang 0002,Chinese Academy of Sciences
Xiao Xue,Tianjin University
Xiao Yang,Shanghai Jiao Tong University
Xiao-Jie Li,Fudan University
Xiao-Ke Xu,Dalian Minzu University
Xiao-Yang Liu,Columbia University
Xiaochen He,Xi'an Jiaotong University
Xiaochun Ni,Qingdao Academy of Intelligent Industries
Xiaohui Liang,University of Massachusetts
Xiaohui Zhao,Donghua University
Xiaojiang Du,Temple University
Xiaojie Zhang,University of Massachusetts
Xiaojun Zhang,UESTC
Xiaokang Wang,Huazhong University of Science and Technology
Xiaokang Zhou,Shiga University
Xiaoliang Liu,Hunan University
Xiaolin Gui,Xi'an Jiaotong University
Xiaolong Jin,Chinese Academy of Sciences
Xiaolong Lin,South China Normal University
Xiaolong Xu 0001,Nanjing University
Xiaolong Zheng 0001,Chinese Academy of Sciences
Xiaolong Zhu,Florida International University
Xiaoming Wang 0001,Shaanxi Normal University
Xiaonan Luo,Guilin University of Electronic Technology
Xiaonan Wang 0001,Changshu Institute of Technology
Xiaoniu Yang,Zhejiang University
Xiaopeng Huang,Shenzhen University
Xiaoping Zhou,Beijing University of Civil Engineering and Architecture
Xiaoqin Shelley Zhang,University of Massachusetts
Xiaoqing Liu,Southern Illinois University
Xiaoran Yan,Indiana University
Xiaowei Liu,Stony Brook University
Xiaowei Zhang,Lanzhou University
Xiaoxian Yang,Shanghai Polytechnic University
Xiaoxiang Na,University of Cambridge
Xiaoyan Lu,Rensselaer Polytechnic Institute
Xiaoyang Liu 0001,Chongqing University
Xiaoyu Sean Lu,New Jersey Institute of Technology
Xiaozhuang Song,Southern University of Science and Technology
Xin Liu 0022,China University of Petroleum
Xin Xu,South China Normal University
Xin Zhou,Nanyang Technological University
Xing Jin,Hangzhou Dianzi University
Xinglin Zhang,South China University of Technology
Xingwei Wang 0001,Northeastern University
Xingyi Zhang,Anhui University
Xingyou Xia,Northeastern University
Xinhong Wu,Chongqing University
Xinwei Cao,Shanghai University
Xinye Cai,Nanjing University
Xishuang Dong,Texas A&M University
Xiuqin Shang,Chinese Academy of Sciences
Xiuzhen Chen,Shanghai Jiao Tong University
Xiuzhen Cheng,Shandong University
Xiwang Guo,New Jersey Institute of Technology
Xiwang Yang,York University
Xiwei Liu,Chinese Academy of Sciences
Xiwei Xu,CSIRO
Xiwu Gu,Huazhong University of Science and Technology
Xixi Li,Chongqing University
Xiyan Sun,Guilin University of Electronic Technology
Xu Zheng,UESTC
Xu Zhu,Renmin University of China
Xuan Han,Qingdao Academy of Intelligent Industries
Xuan Zhang,Renmin University of China
Xuanheng Xu,Zhejiang University
Xuanming Zhao,Changsha University of Science and Technology
Xue Li 0001,University of Queensland
Xuemin Shen,University of Waterloo
Xueqi Cheng,Chinese Academy of Sciences
Xujuan Zhou,University of Southern Queensland
Xukai Zou,Indiana University
Xun Liang 0001,Renmin University of China
Xuyun Zhang,Macquarie University
Yaakov Bar-Shalom,University of Connecticut
Yahui Wu,National University of Defense Technology
Yajie Shi,Dalian University of Technology
Yan Jia 0001,National University of Defense Technology
Yan Luo,University of Massachusetts
Yan Qiao,Macau University of Science and Technology
Yan Wu 0009,Jiangsu University
Yan Zhao 0005,Dartmouth College
Yan Zhou,Northeastern University
Yanbing Liu,Chongqing University
Yancai Xu,Chinese Academy of Sciences
Yanfen Wang,Chinese Academy of Sciences
Yang Chen 0001,Fudan University
Yang Liu 0046,New Jersey Institute of Technology
Yang Liu 0064,Michigan Technological University
Yang Wang,Hunan University
Yang Xiang 0001,Deakin University
Yang Xing,Cranfield University
Yangfu Zhu,Chongqing University
Yangyang Wu,Zhejiang University
Yanhai Xiong,Dartmouth College
Yanli Li,Changshu Institute of Technology
Yanmei Zhang,Central University of Finance and Economics
Yansen Su,Anhui University
Yantao Jia,Chinese Academy of Sciences
Yanzi Du,Xiamen University
Yap-Peng Tan,Nanyang Technological University
Yapu Zhang,Chinese Academy of Sciences
Yaqiong Zeng,Changsha University of Science and Technology
Yasuo Kudo,Muroran Institute of Technology
Yauheni Pyrloh,Belarusian State University of Informatics and Radioelectronics
Ye Li 0002,Chinese Academy of Sciences
Ye Yang,Stevens Institute of Technology
Yechao Yang,Institute of High Performance Computing
Yehia Massoud,Stevens Institute of Technology
Yi Chen 0001,New Jersey Institute of Technology
Yi Chen 0011,Muroran Institute of Technology
Yi Li 0030,University of Texas at Tyler
Yi Liu 0024,Zhejiang University
Yi Pan 0001,Georgia State University
Yi Xie 0002,Sun Yat-sen University
Yi-Feng Lan,Tunghai University
Yi-Nan Lin,Ming Chi University of Technology
Yi-Wei Chang,Sun Yat-sen University
Yibo Guo,Zhengzhou University
Yichuan Jiang,Southeast University
Yidong Li,Beijing Jiaotong University
Yifan Guo,Case Western Reserve University
Yifan Zhu,Beijing Institute of Technology
Yinan Mei,Central University of Finance and Economics
Ying Tang 0001,Dalian Maritime University
Ying Xu,Zhejiang University
Ying Zhang 0001,University of Technology Sydney
Ying-Chin Lee,National Tsing Hua University
Yinghua Huang,Zhejiang University
Yingjie Wang 0002,Yantai University
Yingshu Li,Georgia State University
Yisheng Lv,Chinese Academic of Sciences
Yishi Lee,University of Denver
Yishi Lin,Chinese University of Hong Kong
Yixian Chen,Zhejiang University
Yizhi Xu,Zhejiang University
Yizhu Chen,Chinese Academy of Sciences
Yong Guan,Iowa State University
Yong Li 0037,Beijing University of Technology
Yong Liu 0013,York University
Yong Tang,South China Normal University
Yong Yuan,Renmin University of China
Yongdong Wang,Zhejiang University
Yonglin Tian,Chinese Academy of Sciences
Yongping Zhang,Beihang University
Yongquan Liang,Shandong University
Yongshuai Liu,UESTC
Yongxia Sun,Hunan University
Yongzhong He,Beijing Jiaotong University
Youdinghuan Chen,Dartmouth College
Youyang Qu,Deakin University
Yu Chen,Binghamton University
Yu Ding,Shaanxi Normal University
Yu Gu 0003,Hefei University of Technology
Yu Luo 0003,University of Delaware
Yu Xiao 0001,Aalto University
Yu Zhang,Zhejiang Sci-Tech University
Yu-Dang Wei,Renmin University of China
Yu-Fang Chiu,National Chiao Tung University
Yu-Hsien Peng,National Tsing Hua University
Yuan Liu 0002,Northeastern University
Yuan Yuan 0012,Guilin University of Electronic Technology
Yuan Zhang 0006,UESTC
Yuanyuan Guo,Institute of Smart Healthcare Systems
Yuanzhuo Wang,Chinese Academy of Sciences
Yubao Wu,Georgia State University
Yubo Jia,Zhejiang Sci-Tech University
Yuchen Sun,Dalian University of Technology
Yucheng Dong,Sichuan University
Yue-Jiao Gong,South China University of Technology
Yuehu Liu,Xi'an Jiaotong University
Yufang Wang,Tianjin University
Yufeng Wang 0001,Nanjing University
Yufeng Yao,University of the West of England
Yuhan Chai,Guangzhou University
Yuhang Jiao 0001,Central University of Finance and Economics
Yuhua Li 0003,Huazhong University of Science and Technology
Yuke Li,Chinese Academy of Sciences
Yulei Wu,University of Exeter
Yun Feng,City University of Hong Kong
Yun Xiang,Zhejiang University
Yun Xin,Zhejiang Normal University
Yung-Yin Lo,National Taiwan University
Yunpeng Xiao,Chongqing University
Yunzhong Liu,Arizona State University
Yuping Zhang,Shanghai Normal University
Yuqi Fan,Hefei University of Technology
Yuqing Mao,Nanjing University
Yuqing Zhu 0002,California State University at Los Angeles
Yutong Li,Huazhong University of Science and Technology
Yuval Elovici,Ben-Gurion University of the Negev
Yuyu Yin,Hangzhou Dianzi University
Zachariah Sutton,University of Connecticut
Zahraa Said Abdallah,Monash University
Zainab Al Latifah,Yarmouk University
Zehong Hu,Nanyang Technological University
Zepeng Li,Lanzhou University
Zexun Jiang,Tsinghua University
Zeya Zhao,Chinese Academy of Sciences
Zhanyang Xu,Nanjing University
Zhao Yang,Huazhong University of Science and Technology
Zhao Zhang 0002,Zhejiang Normal University
Zhaosong Huang,Zhejiang University
Zhaozhong Zhang,Cranfield University
Zhe Liu 0002,IBM
Zhe Xiao,Institute of High Performance Computing
Zhefu Wu,Zhejiang University
Zhen Han,Beijing Jiaotong University
Zhen Wang 0013,Hangzhou Dianzi University
Zhenchuan Li,Tongji University
Zhendong Niu,Chinese Academic of Sciences
Zheng Dong 0002,Wayne State University
Zheng Wang,Chongqing University
Zheng Xie,National University of Defense Technology
Zheng Yan 0002,Aalto University
Zheng Yu,Princeton University
Zhenhua Huang,Tongji University
Zhenwen Zhang,Lanzhou University
Zhenyu Zhou,North China Electric Power University
Zhi Liu 0002,University of Electro-Communications
Zhi Tang,Peking University
Zhi Tian,George Mason University
Zhi-Hui Zhan,South China University of Technology
Zhi-Jie Wang 0009,Chongqing University
Zhian Ren,Huazhong University of Science and Technology
Zhigang Yu,Shandong University
Zhihao Li,Zhejiang University
Zhihe Wang,Northwest Normal University
Zhihong Tian,Guangzhou University
Zhihua Guo,Lanzhou University
Zhiling Luo,Zhejiang University
Zhiming Jiang,Chinese Academy of Sciences
Zhipeng Cai 0001,Georgia State University
Zhipeng Zhang,Liaoning Normal University
Zhiwei Zhao,UESTC
