institution,region,countryabbrv
Southern Methodist University,northamerica,us
Southern University of Science and Technology,asia,cn
Southwest Jiaotong University,asia,cn
Southwestern University of Finance and Economics,asia,cn
St. Francis Xavier University,canada,ca
St. Petersburg State University,europe,ru
Star Technical University,asia,tr
State University of New York at Buffalo,northamerica,us
State University of New York at Stony Brook,northamerica,us
State University of Southwestern of Bahia,northamerica,us
Stellenbosch University,africa,za
Stockholm University,europe,se
Stockholm University and Research Institute of Industrial Economics (IFN),europe,se
Stockholm University/Karolinska Institutet,europe,se
Sun Yat-Sen University,asia,cn
Sun Yat-sen University,asia,cn
Supreme Knowledge Foundation Group of Institutions,asia,in
Swansea University,europe,uk
Swinburne University of Technology,australasia,au
Swiss Federal Institute for Aquatic Research,europe,ch
Syracuse University,northamerica,us
TU Berlin,europe,de
TU Braunschweig,europe,de
TU Chemnitz,europe,de
TU Clausthal,europe,de
TU Crete,europe,gr
TU Darmstadt,europe,de
TU Delft,europe,nl
TU Dortmund,europe,de
TU Dresden,europe,de
TU Eindhoven,europe,nl
TU Freiberg,europe,de
TU Ilmenau,europe,de
TU Kaiserslautern,europe,de
TU Munich,europe,de
TU Wien,europe,at
Taif University,asia,sa
Tampere University,europe,fi
Tata Inst. of Fundamental Research,asia,in
Technical University of Lisbon,europe,pt
Technical University of Munich,europe,de
Technical University of Sofia,europe,bg
Technion,asia,il
Technological University Dublin,europe,ie
Tel Aviv University,asia,il
Tel-Aviv University,asia,il
Telecom ParisTech,europe,fr
Telecommunications Institute,europe,pt
Telefónica Research,europe,es
Temple University,northamerica,us
Tennessee State University,northamerica,us
Texas A&M at Qatar,asia,qa
Texas Tech University,northamerica,us
Texas Womans University,northamerica,us
The Aspen Institute,northamerica,us
The British University in Egypt,africa,eg
The Hebrew University,asia,il
The Hong Kong Polytechnic University,asia,hk
The Netherlands Institute for Social Research,europe,nl
The Northwestern Institute on Complex Systems (NICO),northamerica,us
The Research Institute for Development,africa,sn
The State University of New Jersey,northamerica,us
The University of Italian Switzerland,europe,ch
The University of Texas Health Science Center at Houston,northamerica,us
Tianjin University,asia,cn
Tianjin University of Finance and Economics,asia,cn
Tilburg University,europe,nl
Tinbergen Institute,europe,nl
Tohoku University,asia,jp
Tokushima University,asia,jp
Tokyo Institute of Technology,asia,jp
Tokyo International University,asia,jp
Tongji University,asia,cn
Toulouse Capitole University,europe,fr
Trinity College Dublin,europe,ie
Tsinghua University,asia,cn
Tulane University,northamerica,us
Tunghai University,asia,tw
U.S. Army Engineer Research and Development Center,northamerica,us
U.S. Army Research Laboratory,northamerica,us
UESTC,asia,cn
UFF,southamerica,br
UFMG,southamerica,br
UFMS,southamerica,br
UFPE,southamerica,br
UFRGS,southamerica,br
UFRJ,southamerica,br
UFRPE,southamerica,br
UFU,southamerica,br
UMR151 IRD / AIX Marseille University,europe,fr
UNICAMP,southamerica,br
UNIST,asia,kr
UNSW,australasia,au
US Army Research Institute for the Behavioral and Social Sciences,northamerica,us
USC Information Sciences Institute,northamerica,us
USP,southamerica,br
USP-ICMC,southamerica,br
USTC,asia,cn
Ukrainian Academy of Public Service,europe,ua
Ukrainian Institute of Public Health,europe,ua
Umeå University,europe,se
United States Military Academy,northamerica,us
Univeristy College Dublin,europe,ie
Universidad Complutense de Madrid,europe,es
Universidade Estadual Paulista,southamerica,br
Universitat Pompeu Fabra,europe,es
University Carlos III of Madrid,europe,es
University College Dublin,europe,ie
University College London,europe,uk
University Minnesota,northamerica,us
University Osnabrück,europe,de
University Paris 2,europe,fr
University Paris Dauphine,europe,fr
University Paris Descartes,europe,fr
University Paris-Dauphine,europe,fr
University Statistics School,europe,es
University at Albany,northamerica,us
University Campus of Santiago,europe,pt
University of A Coruña,europe,es
University of Aberdeen,europe,uk
University of Adelaide,australasia,au
University of Aizu,asia,jp
University of Alabama,northamerica,us
University of Alberta,canada,ca
University of Alcalá,europe,es
University of Alzahra,asia,ir
University of Amsterdam,europe,nl
University of Applied Labour Studies,europe,de
University of Arkansas,northamerica,us
University of Athens,europe,gr
University of Auckland,australasia,nz
University of Augsburg,europe,de
University of Aveiro,europe,pt
University of Avignon,europe,fr
University of Bamberg,europe,de
University of Barcelona,europe,es
University of Bath,europe,uk
University of Bayreuth,europe,de
University of Bergen,europe,no
University of Bern,europe,ch
University of Bielefeld,europe,de
University of Birmingham,europe,uk
University of Bologna,europe,it
University of Bonn,europe,de
University of Brasilia,southamerica,br
University of Bremen,europe,de
University of Brescia,europe,it
University of Bristol,europe,uk
University of British Columbia,canada,ca
University of Buenos Aires,southamerica,ar
University of Caen,europe,fr
University of Calabria,europe,it
University of Calcutta,asia,in
University of Calgary,canada,ca
University of Cambridge,europe,uk
University of Canterbury,australasia,nz
University of Cape Town,africa,za
University of Carthage,africa,tn
University of Central Lancashire,europe,uk
University of Chester,europe,uk
University of Chile,southamerica,cl
University of Chinese Academy of Sciences,asia,cn
University of Cincinnati,northamerica,us
University of Cologne,europe,de
University of Colorado,northamerica,us
University of Colorado Denver,northamerica,us
University of Copenhagen,europe,dk
University of Crete,europe,gr
University of Debrecen,europe,hu
University of Denver,northamerica,us
University of Derby,europe,uk
University of Dortmund,europe,de
University of Duisburg-Essen,europe,de
University of Dundee,europe,uk
University of Düsseldorf,europe,de
University of Eastern Finland,europe,fi
University of Economics in Katowice,europe,pl
University of Edinburgh,europe,uk
University of Electro-Communications,asia,jp
University of Electronic Science and Technology of China,asia,cn
University of Engineering and Management,asia,in
University of Erlangen-Nuremberg,europe,de
University of Erlangen–Nuremberg,europe,de
University of Essex,europe,uk
University of Exeter,europe,uk
University of Foggia,europe,it
University of Freiburg,europe,de
University of Fribourg,europe,ch
University of Geneva,europe,ch
University of Gent,europe,be
University of Girona,europe,es
University of Glasgow,europe,uk
University of Gothenburg,europe,se
University of Greenwich,europe,uk
University of Groningen,europe,nl
University of Guanajuato,northamerica,mx
University of Guelph,canada,ca
University of Gujrat,asia,pk
University of Göttingen,europe,de
University of Haifa,asia,il
University of Halle-Wittenberg,europe,de
University of Hamburg,europe,de
University of Hannover,europe,de
University of Hawaii at Manoa,northamerica,us
University of Helsinki,europe,fi
University of Hildesheim,europe,de
University of Hong Kong,asia,hk
University of Houston,northamerica,us
University of Hyogo,asia,jp
University of Ibagué,southamerica,co
University of Idaho,northamerica,us
University of Illinois at Urbana–Champaign,northamerica,us
University of Indiana Bloomington,northamerica,us
University of Ioannina,europe,gr
University of Isfahan,asia,ir
University of Italian Switzerland,europe,ch
University of Joensuu,europe,fi
University of Jordan,asia,jo
University of Jyväskylä,europe,fi
University of Kalyani,asia,in
University of Karlsruhe (TH),europe,de
University of Kassel,europe,de
University of Kent,europe,uk
University of Kerala,asia,in
University of Kiel,europe,de
University of Klagenfurt,europe,at
University of Koblenz-Landau,europe,de
University of Konstanz,europe,de
University of LAquila,europe,it
University of Lausanne,europe,ch
University of Leeds,europe,uk
University of Leicester,europe,uk
University of Leipzig,europe,de
University of Leuven,europe,be
University of Lisbon,europe,pt
University of Liverpool,europe,uk
University of Ljubljana,europe,si
University of London,europe,uk
University of Los Andes,southamerica,co
University of Louisville,northamerica,us
University of Lugano,europe,ch
University of Lugano and School of Management,southamerica,co
University of Luxembourg,europe,lu
University of Lübeck,europe,de
University of Macau,asia,cn
University of Macedonia,europe,gr
University of Magdeburg,europe,de
University of Mainz,europe,de
University of Malaya,asia,my
University of Malta,europe,mt
University of Manchester,europe,uk
University of Manitoba,canada,ca
University of Mannheim,europe,de
University of Marburg,europe,de
University of Maribor,europe,si
University of Massachusetts,northamerica,us
University of Massachusetts Medical School,northamerica,us
University of Massachusetts at Amherst,northamerica,us
University of Massachusetts at Boston,northamerica,us
University of Massachusetts at Dartmouth,northamerica,us
University of Melbourne,australasia,au
University of Milan,europe,it
University of Milan Bicocca,europe,it
University of Mississippi,northamerica,us
University of Missouri,northamerica,us
University of Missouri—St. Louis,northamerica,us
University of Molise,europe,it
University of Montreal,canada,ca
University of Munich,europe,de
University of Murcia,europe,es
University of Münster,europe,de
University of Namur,europe,be
University of Naples,europe,it
University of Naples Federico II,europe,it
University of Navarra,europe,es
University of Nebraska Omaha,northamerica,us
University of Neuchâtel,europe,ch
University of New Brunswick,canada,ca
University of New South Wales,australasia,au
University of Newcastle,australasia,au
University of Nicosia,europe,cy
University of Nijmegen,europe,nl
University of North Texas,northamerica,us
University of Nottingham,europe,uk
University of Oldenburg,europe,de
University of Osnabrück,europe,de
University of Otago,australasia,nz
University of Ottawa,canada,ca
University of Oulu,europe,fi
University of Oviedo,europe,es
University of Oxford,europe,uk
University of Palermo,europe,it
University of Passau,europe,de
University of Pavia,europe,it
University of Piraeus,europe,gr
University of Pisa,europe,it
University of Porto,europe,pt
University of Potsdam,europe,de
University of Quebec in Montreal,canada,ca
University of Queensland,australasia,au
University of Regina,canada,ca
University of Rostock,europe,de
University of Salento,europe,it
University of Salerno,europe,it
University of Salzburg,europe,at
University of San Francisco,northamerica,us
University of Sannio,europe,it
University of Sao Paulo,southamerica,br
University of Sargodha,asia,pk
University of Saskatchewan,canada,ca
University of Science and Technology Beijing,asia,cn
University of Science and Technology of China,asia,cn
University of Sheffield,europe,uk
University of Siegen,europe,de
University of Silesia,europe,pl
University of Social Sciences and Humanities,europe,pl
University of South Australia,australasia,au
University of South Carolina,northamerica,us
University of South Wales,europe,uk
University of Southampton,europe,uk
University of Southern Queensland,australasia,au
University of St Andrews,europe,uk
University of St. Gallen,europe,ch
University of Stavanger,europe,no
University of Stuttgart,europe,de
University of Surrey,europe,uk
University of Sussex,europe,uk
University of Sydney,australasia,au
University of Szeged,europe,hu
University of São Paulo,southamerica,br
University of Tartu,europe,ee
University of Technology Sydney,australasia,au
University of Tehran,asia,ir
University of Texas Medical Branch,northamerica,us
University of Texas at San Antonio,northamerica,us
University of Texas at Tyler,northamerica,us
University of thessaly,europe,gr
University of Tokyo,asia,jp
University of Torino,europe,it
University of Toronto,canada,ca
University of Toulouse Le Mirail,europe,fr
University of Trento,europe,ru
University of Trier,europe,de
University of Trieste,europe,it
University of Tsukuba,asia,jp
University of Turin,europe,it
University of Turku,europe,fi
University of Twente,europe,nl
University of Tübingen,europe,de
University of Udine,europe,it
University of Ulm,europe,de
University of Utrecht,europe,nl
University of Valparaíso,southamerica,cl
University of Versailles,europe,fr
University of Victoria,canada,ca
University of Vienna,europe,at
University of Waikato,australasia,nz
University of Warsaw,europe,pl
University of Warwick,europe,uk
University of Waterloo,canada,ca
University of Western Australia,australasia,au
University of Western Ontario,canada,ca
University of Westminster,europe,uk
University of Windsor,canada,ca
University of Wisconsin-Madison,northamerica,us
University of Wisconsin-Milwaukee,northamerica,us
University of Wroclaw,europe,pl
University of Wuppertal,europe,de
University of Würzburg,europe,de
University of York,europe,uk
University of Zadar,europe,hr
University of Zaragoza,europe,es
University of Zurich,europe,ch
University of the Andes,southamerica,ve
University of the Mediterranean,europe,fr
University of the West of England,europe,uk
University of the Witwatersrand,africa,za
University of Örebro,europe,se
Università Cattolica del Sacro Cuore,europe,it
Uppsala University,europe,se
Utah State University,northamerica,us
Utrecht University,europe,nl
VU Amsterdam,europe,nl
VU University,europe,nl
Vel Tech,asia,in
Vellore Institute of Technology,asia,in
Victoria University of Wellington,australasia,nz
Villanova University,northamerica,us
Virginia Polytechnic Institute and State University,northamerica,us
Visva-Bharati University,asia,in
Vrije University Amsterdam,europe,nl
Wageningen University,europe,nl
Wake forest School of Medicine,northamerica,us
Wake forest University,northamerica,us
Waseda University,asia,jp
Waterford Institute of Technology,europe,ie
Wayne State University,northamerica,us
Weizmann Institute of Science,asia,il
West Virginia University,northamerica,us
Western Paraná State University,southamerica,br
Western University,canada,ca
Westlake University,asia,cn
Wrocław University of Science and Technology,europe,pl
Wuhan University,asia,cn
Xi'an Jiaotong University,asia,cn
Xi'an University of Technology,asia,cn
Xiamen University,asia,cn
Xidian University,asia,cn
Xinjiang University,asia,cn
Yale Institute for Network Science,northamerica,us
Yanshan University,asia,cn
Yantai University,asia,cn
Yarmouk University,asia,jo
Yokohama National University,asia,jp
Yonsei University,asia,kr
Yonsei university,asia,kr
York University,canada,ca
Yuan Ze University,asia,tw
ZPID - Leibniz Institute for Psychology Information,europe,de
Zagazig University,africa,eg
Zaragozas University,europe,es
Zayed University,asia,ae
Zhejiang Normal University,asia,cn
Zhejiang Sci-Tech University,asia,cn
Zhejiang University,asia,cn
Zhengzhou University,asia,cn
Zhongnan University of Economics and Law,asia,cn
Aarhus University,northamerica,us
Arizona State University,northamerica,us
Auburn University,northamerica,us
Australian National University,northamerica,us
Binghamton University,northamerica,us
Boston College,northamerica,us
Boston University,northamerica,us
Brandeis University,northamerica,us
Brigham Young University,northamerica,us
Brown University,northamerica,us
CUNY,northamerica,us
California Institute of Technology,northamerica,us
Carleton University,northamerica,us
Carnegie Mellon University,northamerica,us
Clemson University,northamerica,us
College of William and Mary,northamerica,us
Colorado State University,northamerica,us
Columbia University,northamerica,us
Concordia University,northamerica,us
Cornell University,northamerica,us
DIKU,northamerica,us
Dartmouth College,northamerica,us
Drexel University,northamerica,us
Duke University,northamerica,us
EPFL,northamerica,us
ETH Zurich,northamerica,us
Ecole Normale Superieure,northamerica,us
Ecole Normale Superieure de Cachan,northamerica,us
Ecole Normale Superieure de Lyon,northamerica,us
Emory University,northamerica,us
Florida State University,northamerica,us
George Mason University,northamerica,us
George Washington University,northamerica,us
Georgetown University,northamerica,us
Georgia Institute of Technology,northamerica,us
Harvard University,northamerica,us
Hebrew University of Jerusalem,northamerica,us
IISc Bangalore,northamerica,us
IMDEA Software Institute,northamerica,us
IST Austria,northamerica,us
Imperial College London,northamerica,us
Indiana University,northamerica,us
Johns Hopkins University,northamerica,us
Kansas State University,northamerica,us
Massey University,northamerica,us
McGill University,northamerica,us
Michigan State University,northamerica,us
Monash University,northamerica,us
NJIT,northamerica,us
National University of Singapore,northamerica,us
Naval Postgraduate School,northamerica,us
New Mexico State University,northamerica,us
New York University,northamerica,us
North Carolina State University,northamerica,us
Northeastern University,northamerica,us
Northwestern University,northamerica,us
OHSU,northamerica,us
Ohio State University,northamerica,us
Oregon State University,northamerica,us
Pennsylvania State University,northamerica,us
Polytechnic University of Catalonia,northamerica,us
Polytechnic University of Milan,northamerica,us
Princeton University,northamerica,us
Purdue University,northamerica,us
RWTH Aachen,northamerica,us
Rensselaer Polytechnic Institute,northamerica,us
Rice University,northamerica,us
Rochester Institute of Technology,northamerica,us
Rutgers University,northamerica,us
Simon Fraser University,northamerica,us
Stanford University,northamerica,us
Stevens Institute of Technology,northamerica,us
Stony Brook University,northamerica,us
TU Darmstadt,northamerica,us
TU Dresden,northamerica,us
TU Munich,northamerica,us
Technion - Israel Institute of Technology,northamerica,us
Tel Aviv University,northamerica,us
Texas A&M University,northamerica,us
Toyota Technological Institute at Chicago,northamerica,us
Tufts University,northamerica,us
UNSW,northamerica,us
University College London,northamerica,us
University at Buffalo,northamerica,us
University of Adelaide,northamerica,us
University of Alberta,northamerica,us
University of Arizona,northamerica,us
University of Athens,northamerica,us
University of Auckland,northamerica,us
University of Bath,northamerica,us
University of Bristol,northamerica,us
University of British Columbia,northamerica,us
University of Calgary,northamerica,us
University of California - Berkeley,northamerica,us
University of California - Davis,northamerica,us
University of California - Irvine,northamerica,us
University of California - Los Angeles,northamerica,us
University of California - Riverside,northamerica,us
University of California - San Diego,northamerica,us
University of California - Santa Barbara,northamerica,us
University of California - Santa Cruz,northamerica,us
University of Cambridge,northamerica,us
University of Canterbury,northamerica,us
University of Central Florida,northamerica,us
University of Chicago,northamerica,us
University of Colorado Boulder,northamerica,us
University of Connecticut,northamerica,us
University of Delaware,northamerica,us
University of Edinburgh,northamerica,us
University of Florida,northamerica,us
University of Georgia,northamerica,us
University of Illinois at Chicago,northamerica,us
University of Illinois at Urbana-Champaign,northamerica,us
University of Iowa,northamerica,us
University of Kansas,northamerica,us
University of Kent,northamerica,us
University of Kentucky,northamerica,us
University of Luxembourg,northamerica,us
University of Maryland - College Park,northamerica,us
University of Massachusetts Amherst,northamerica,us
University of Massachusetts Lowell,northamerica,us
University of Melbourne,northamerica,us
University of Miami,northamerica,us
University of Michigan,northamerica,us
University of Minnesota,northamerica,us
University of Montreal,northamerica,us
University of Nebraska,northamerica,us
University of Nevada,northamerica,us
University of New Mexico,northamerica,us
University of North Carolina,northamerica,us
University of Notre Dame,northamerica,us
University of Oregon,northamerica,us
University of Otago,northamerica,us
University of Oxford,northamerica,us
University of Pennsylvania,northamerica,us
University of Pittsburgh,northamerica,us
University of Queensland,northamerica,us
University of Rochester,northamerica,us
University of Salerno,northamerica,us
University of South Florida,northamerica,us
University of Southern California,northamerica,us
University of Sydney,northamerica,us
University of Tartu,northamerica,us
University of Tennessee,northamerica,us
University of Texas at Arlington,northamerica,us
University of Texas at Austin,northamerica,us
University of Texas at Dallas,northamerica,us
University of Texas at El Paso,northamerica,us
University of Toronto,northamerica,us
University of Utah,northamerica,us
University of Virginia,northamerica,us
University of Waikato,northamerica,us
University of Warsaw,northamerica,us
University of Washington,northamerica,us
University of Waterloo,northamerica,us
University of Western Australia,northamerica,us
University of Wisconsin - Madison,northamerica,us
University of Zurich,northamerica,us
VU Amsterdam,northamerica,us
Vanderbilt University,northamerica,us
Victoria University of Wellington,northamerica,us
Virginia Commonwealth University,northamerica,us
Virginia Tech,northamerica,us
Washington State University,northamerica,us
Washington University in St. Louis,northamerica,us
Worcester Polytechnic Institute,northamerica,us
Yale University,northamerica,us
Beijing Normal University,asia,cn
University of Tasmania,australasia,au
Loyola University Chicago,northamerica,us
Auckland University of Technology,australasia,nz
Harbin Engineering University,asia,cn
Beijing Language and Culture University,asia,cn
University of Kaiserslautern,europe,de
AGH University of Science and Technology,europe,pl
AIT Austrian Institute of Technology,europe,at
Affiliated to Mumbai University,asia,in
Ain Shams University,africa,eg
Air Force Institute of Technology,northamerica,us
Al-Baha University,asia,sa
Aligarh Muslim University,asia,in
Amirkabir University of Technology,asia,ir
Amirkabir University of Technology (AUT),asia,ir
Amirkabir University of Technology (Tehran Polytechnic),asia,ir
Anna University,asia,in
Aoyama Gakuin University,asia,jp
Appalachian State University,northamerica,us
Arak University of Medical Sciences,asia,ir
Aristotle University,europe,gr
Aston University and Folding Space,europe,gb
Athens University of Economics and Business,europe,gr
Augusta University,northamerica,us
B S Abdur Rahman Crescent Institute of Science and Technology,asia,in
Badji Mokhtar Annaba-University,africa,dz
Bangladesh University of Engineering and Technology,asia,bd
Bangladesh University of Professionals (BUP),asia,bd
Beirut Arab University,asia,lb
Berhampur University,asia,in
Binghamton Univeristy,northamerica,us
Birla Institute of Technology,asia,in
Blekinge Institute of Technology,europe,se
Bournemouth University,europe,gb
Bozorgmehr University of Qaenat,asia,ir
Bu-Ali Sina University,asia,ir
Bucharest University of Economic Studies,europe,ro
Bundelkhand Institute of Engineering and Technology,asia,in
Business Communication Management Development Institute,asia,in
CMR Institute of Management Studies,asia,in
COMSAT University Islamabad,asia,pk
Cadi Ayyad University,africa,ma
Cardiff Metropolitan University,europe,gb
Chiang Mai University,asia,th
China Telecom Beijing Research Institute,asia,cn
China University of Mining and Technology,asia,cn
Chitkara University,asia,in
Chitkara University Institute of Engineering and Technology,asia,in
Chittagong University of Engineering and Technology,asia,bd
Chouaib Doukkali University,africa,ma
Ciudad Universitaria,southamerica,ar
Clermont University,europe,fr
Coastal Carolina University,northamerica,us
Deaking University,australasia,au
Democritus University of Thrace,europe,gr
Department of Sociology & Inter-University Center for Social Science theory and Methodology,europe,nl
Dickinson State University,northamerica,us
Digital Enterprise Research Institute,europe,ie
Dresden University of Technology,europe,de
East China Normal University,asia,cn
