John S. Atkinson,"Affiliated Systems, 3104 Edloe, Suite 330; Houston, TX 77027-6022, USA"
Liesbeth Mercken,"Care and Public Health Research Institute (CAPHRI), Maastricht, The Netherlands"
Christian E. G. Steglich,"Department of Sociology, University of Groningen, The Netherlands"
Erkki Vartiainen,"Department of Health Promotion and Chronic Disease Prevention, National Public Health Institute, Finland"
Hein de Vries,"Care and Public Health Research Institute (CAPHRI), Maastricht, The Netherlands"
Maurits de Klepper,"VU University Amsterdam, Vrije University Amsterdam, Dept. of Social Research Methodology, Netherlands"
Ed Sleebos,"VU University Amsterdam, Vrije University Amsterdam, Dept. of Organization Science, Netherlands"
Gerhard G. Van De Bunt,"VU University Amsterdam, Vrije University Amsterdam, Dept. of Social Research Methodology, Netherlands"
Javier Ávila,"Department of Social and Cultural Anthropology, Autonomous University of Barcelona, Edifici B, 08193 Bellaterra, Barcelona, Spain"
Uwe Matzat,"Eindhoven University of Technology, The Netherlands"
Chris Snijders,"Eindhoven University of Technology, The Netherlands"
Cyprian Wejnert,"Sociology, Cornell University, 4824 Smallwood R. Apt. 90, Columbia, SC 29223, United States"
John P. Boyd 0002,"Institute for Mathematical Behavioral Sciences, University of California - Irvine, CA 92697-5100, USA"
William J. Fitzgerald 0002,"Orange County Department of Education, Costa Mesa, CA 92628, USA"
Matthew C. Mahutga,"Department of Sociology, University of California - Riverside, CA 92521, USA"
David A. Smith,"Department of Sociology, University of California - Irvine, CA 92697-5100, USA"
Darren C. Treadway,"Department of Organization and Human Resources, School of Management, State University of New York at Buffalo, Buffalo, NY 14260, United States"
Jacob W. Breland,"University of Idaho, United States"
Garry L. Adams,"Auburn University, United States"
Allison B. Duke,"Lipscomb University, United States"
Laura A. Williams,"University of Mississippi, United States"
Philip Mohr,"CSIRO Food and Nutritional Sciences, Australia"
Carlene Wilson,"Flinders University, Australia"
Simon Rodan,"Department of Organization and Management, College of Business, San José State University, One Washington Square, San José, CA 95192-0070, United States"
Bettina Hoser,"University of Karlsruhe (TH), Institute for Information of Information Systems and Management, Zirkel 2, 76131 Karlsruhe, Germany"
Tanja Nitschke,"University of Karlsruhe (TH), Centre for Applied Legal Studies, Am Fasanengarten 5, 76131 Karlsruhe, Germany"
Mo-Han Hsieh,"Engineering Systems Division, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"
Christopher L. Magee,"Engineering Systems Division & Department of Mechanical Engineering, Massachusetts Institute of Technology, Cambridge, MA 02139, USA"
John Skvoretz,"College of Arts & Sciences, University of South Florida, Tampa, FL 33620, USA"
Verónica de Miguel Luken,"Migration Research Group, Autonomous University of Barcelona, Spain"
Siddhartha Bhattacharyya,"University of Illinois at Chicago, Department of Information and Decision Sciences,601 S. Morgan Street, Chicago, IL 60607, United States"
Stellan Ohlsson,"University of Illinois at Chicago, Department of Psychology, 1007 West Harrison Street, Chicago, IL 60607, United States"
Karl-Oskar Lindgren,"Department of Government, Uppsala University, Gamla Torget 2, Box 514, S-751 20 Uppsala, Sweden"
Mark S. Mizruchi,"Department of Sociology, University of Michigan, United States"
Joris van der Veer,"Department of Sociology/ICS, Utrecht University, Heidelberglaan 2, 3584 CS Utrecht, Netherlands"
Michael Szell,"Section for Science of Complex Systems, Medical University of Vienna, Austria"
Stefan Thurner,"Section for Science of Complex Systems, Medical University of Vienna, Austria"
Tal Spalter,"Department of Sociology, Tel Aviv University, Israel"
Bernice A. Pescosolido,"Department of Sociology, Indiana University, Karl F. Schuessler Institute for Social Research, 1022 E. Third Street, Bloomington, IN 47405, United States"
Ramasuri Narayanam,"Electronic Commerce Laboratory, Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"
Y. Narahari,"Electronic Commerce Laboratory, Department of Computer Science and Automation, Indian Institute of Science, Bangalore, India"
Matthew J. Salganik,"Department of Sociology and Office of Population Research, Princeton University, Princeton, NJ, USA"
Maeve B. Mello,"Laboratory on Health Information, Oswaldo Cruz Foundation, Rio de Janeiro, Brazil"
Alexandre Hannud Abdo,"Department of Physics, University of São Paulo, São Paulo, Brazil"
Neilane Bertoni,"Laboratory on Health Information, Oswaldo Cruz Foundation, Rio de Janeiro, Brazil"
Dimitri Fazito,"Department of Demography, Center of Development and Regional Planning, Federal University of Minas Gerais, Belo Horizonte, Brazil"
Axel Franzen,"Institute of Sociology, University of Bern, Lerchenweg 36, CH-3012 Bern, Switzerland"
Sonja Pointner,"Institute of Sociology, University of Bern, Lerchenweg 36, CH-3012 Bern, Switzerland"
Wendy D. Brynildsen,"Duke University, Department of Sociology, Durham, NC, United States"
Mark E. Feinberg,"Pennsylvania State University, Prevention Research Center, United States"
Scott D. Gest,"Pennsylvania State University, Department of Human Development and Family Studies, United States"
Conrad Lee,"Clique Research Cluster, University College Dublin, Ireland"
Thomas Scherngell,"AIT Austrian Institute of Technology GmbH, Foresight and Policy Development Department, Vienna, Austria"
Michael J. Barber,"AIT Austrian Institute of Technology GmbH, Foresight and Policy Development Department, Vienna, Austria"
José Luis Iribarren,"Instituto de Ingenieríıa del Conocimiento, Universidad Autónoma de Madrid, Autonomous University of Madrid, 28049 Madrid, Spain"
Rachel Garshick Kleit,"Daniel J. Evans School of Public Affairs, University of Washington, 209C Parrington Hall, Box 353055, Seattle, WA 98195-3055, USA"
Nicole Bohme Carnegie,"Department of Humanities and Social Sciences in the Professions, New York University, Kimball Hall, 3rd Floor, New York, NY 10003, USA"
Barry Markovsky,"Department of Sociology, University of South Carolina, Columbia, SC 29208, United States"
Mike Steketee,"Department of Sociology, University of South Carolina, Columbia, SC 29208, United States"
Robert Ackland,"Australian Demographic and Social Research Institute, The Australian National University, Australia"
Mathieu O'Neil,"Australian Demographic and Social Research Institute, The Australian National University, Australia"
Mónica del Pozo,"Dpto. de Estadística e I.O. III, Escuela Universitaria de Estadística, Universidad Complutense de Madrid, Madrid, Spain"
Conrado Manuel,"Dpto. de Estadística e I.O. III, Escuela Universitaria de Estadística, Universidad Complutense de Madrid, Madrid, Spain"
Enrique González-Arangüena,"Dpto. de Estadística e I.O. III, Escuela Universitaria de Estadística, Universidad Complutense de Madrid, Madrid, Spain"
Guillermo Owen,"Naval Postgraduate School, Dept. of Mathematics, Monterey, USA"
Hans Noel,"Government, Georgetown University, United States"
Brendan Nyhan,"Robert Wood Johnson Scholar in Health Policy Research, University of Michigan, United States"
Dan Braha,"New England Complex Systems Institute, Cambridge, MA, United States"
Blake C. Stacey,"New England Complex Systems Institute, Cambridge, MA, United States"
Yaneer Bar-Yam,"New England Complex Systems Institute, Cambridge, MA, United States"
Chih-Ping Chou,"Institute for Prevention Research, Department of Preventive Medicine, Keck School of Medicine, University of Southern California, United States"
Troy Raeder,"Department of Computer Science and Engineering, College of Engineering, University of Notre Dame, 384 Fitzpatrick Hall, Notre Dame, IN 46556, United States"
Omar Lizardo,"Department of Sociology, University of Notre Dame, 810 Flanner Hall, IN 46556, United States"
David Hachen,"Department of Sociology, University of Notre Dame, 810 Flanner Hall, IN 46556, United States"
Nitesh V. Chawla,"Department of Computer Science and Engineering, College of Engineering, University of Notre Dame, 384 Fitzpatrick Hall, Notre Dame, IN 46556, United States"
Andreas Geyer-Schulz,"Department of Sociology/ICS, University of Groningen, The Netherlands"
James Sanders,"Department of Sociology, Po Box 644020, Washington State University, Pullman, WA 99164-4020, USA"
Ylva Almquist,"Centre for Health Equity Studies (CHESS), Stockholm University/Karolinska Institutet, SE-106 91 Stockholm, Sweden"
Birgit Pauksztat,"Department of Management and Organization, Hanken School of Economics, P.O. Box 479, 00101 Helsinki, Finland"
Steve McDonald,"Campus Box 8107, Department of Sociology & Anthropology, North Carolina State University, Raleigh, NC 27695-8107, United States"
Gina S. Lovasi,"Columbia University, United States"
Pip Pattison,"School of Behavioural Science, University of Melbourne, Australia"
Bill Mitchell,"The University of Newcastle, Australia"
Anthea Bill,"The University of Newcastle, Australia"
Martin Watts,"The University of Newcastle, Australia"
Scott Baum,"Griffith University, Australia"
Paulina Preciado,"University of Oxford, Department of Statistics, 1 South Parks Road, Oxford OX1 3TG, United Kingdom"
William J. Burk,"Radboud Universiteit Nijmegen, Radboud University Nijmegen, Montessorilaan 3, 6525 HR Nijmegen, The Netherlands"
Håkan Stattin,"University of Örebro, Fakultetsgatan 1, 701 82 Örebro, Sweden"
Margaret Kerr,"University of Örebro, Fakultetsgatan 1, 701 82 Örebro, Sweden"
Kerstin Sailer,"The Bartlett School of Graduate Studies, University College London, 1-19 Torrington Place, London WC1E 7HB, United Kingdom"
Ian McCulloh,"United States Military Academy, Network Science Center, 601 Cullum Road, West Point, NY 10996, United States"
Gil Viry,"Department of Sociology, University of Geneva, Uni Mail, 40 Bd du Pont d'Arve, 1211 Genève 4, Switzerland"
Yuri Takhteyev,"University of Toronto, Faculty of Information, 140 St. George Street, Toronto, ON M5S 3G6, Canada"
Anatoliy A. Gruzd,"Dalhousie University, Canada"
Barry Wellman,"University of Toronto, Canada"
Barbara Entwisle,"University of North Carolina at Chapel Hill, United States"
Katherine Faust,"University of California - Irvine, United States"
Ronald R. Rindfuss,"University of North Carolina at Chapel Hill and East-West Center, United States"
Jeremy Mennis,"Department of Geography and Urban Studies, Temple University, 1115 W. Berks St, 309 Gladfelter Hall, Philadelphia, PA 19122, United States"
Michael J. Mason,"Department of Education and Human Services, St. Augustine Center, 366, Villanova University, 800 Lancaster Ave., Villanova, PA 19085, United States"
David Krackhardt,"Carnegie Mellon University, United States"
Koen Vanbrabant,"Department of Psychology, University of Leuven, Leuven, Belgium"
Peter Kuppens,"Department of Psychology, University of Leuven, Leuven, Belgium"
Johan Braeken,"Department of Methodology and Statistics, Tilburg University, Tilburg, The Netherlands"
Evelien Demaerschalk,"Department of Psychology, University of Leuven, Leuven, Belgium"
An Boeren,"Department of Psychology, University of Leuven, Leuven, Belgium"
Francis Tuerlinckx,"Department of Psychology, University of Leuven, Leuven, Belgium"
David Willer,"Department of Sociology, University of South Carolina, United States"
Pamela Emanuelson,"Department of Sociology and Anthropology, North Dakota State University, United States"
Alexandra Marin,"University of Toronto, Department of Sociology, 725 Spadina Ave., Toronto, Ont., Canada M5S 2J4"
Jens F. Binder,"Nottingham Trent University, UK"
Alistair G. Sutcliffe,"University of Manchester, UK"
Elisa Bellotti,"The Mitchell Centre for Social Network Analysis, and Sustainable Consumption Institute, University of Manchester, United Kingdom"
Mariela Szwarcberg,"University of Chicago, 5848 S. University Avenue, Chicago, IL 60637, United States"
John Sandberg,"Department of Sociology, McGill University, Stephen Leacock Building Room 712, 855 Sherbrooke Street West, Montreal, Quebec H3A 2T7, Canada"
Steven Rytina,"McGill University, Canada"
Valérie Delaunay,"L'institue de recherche pour le développement (IRD), Laboratoire Population Environnement Développement (LPED), UMR151 IRD/Aix-Marseille Université, Aix Marseille University, Dakar, Sénégal"
Adama S. Marra,"L'institue de recherche pour le développement (IRD), IRD US009, Dakar, Sénégal"
Love Bohman,"Department of Sociology, Stockholm University, S-106 91 Stockholm, Sweden"
Natalie Indlekofer,"Department of Computer & Information Science, University of Konstanz, Germany"
Martin Mader,"Department of Computer & Information Science, University of Konstanz, Germany"
Lise Mounier,"CMH-CNRS, 48 Boulevard Jourdan, 75014 Paris, France"
Paola Tubaro,"University of Greenwich Business School, London SE10 9LS, United Kingdom"
Thomas N. Friemel,"IPMZ – University of Zurich, Andreasstrasse 15, 8050 Zurich, Switzerland"
Philip A. Sinclair,"Department of Computing, Mathematics, and Digital, Technology, Manchester Metropolitan University, United Kingdom"
Jo Holliday,"Cardiff Institute of Society and Health, School of Social Sciences, Cardiff University, United Kingdom"
Laurence Moore,"Cardiff Institute of Society and Health, School of Social Sciences, Cardiff University, United Kingdom"
Robert W. Faris,"University of California - Davis, United States"
Susan T. Ennett,"University of North Carolina at Chapel Hill, United States"
Jeffrey Cormier,"Formerly of King's College, University of Western Ontario, Canada"
Dan J. Wang,"Stanford University, Stanford, CA 94305, United States"
Xiaolin Shi,"Microsoft Corporation, Redmond, WA 98052, United States"
Daniel A. McFarland,"Stanford University, Stanford, CA 94305, United States"
Jure Leskovec,"Stanford University, Stanford, CA 94305, United States"
Nynke van Miltenburg,"Department of Sociology/ICS, Utrecht University, Heidelberglaan 2, 3584 CS Utrecht, The Netherlands"
Cécile Emery,"London School of Economics and Political Science, Houghton Street, London WC2A 2AE, United Kingdom"
Vladimir Barash,"Cornell University, Ithaca, NY, United States"
Rebeka Johnson,"University of Lugano, Switzerland"
András Vicsek,"Maven 7, Hungary"
Palakorn Achananuparp,"School of Information Systems, Singapore Management University, 80 Stamford Road, Singapore 178902, Singapore"
Ee-Peng Lim,"School of Information Systems, Singapore Management University, 80 Stamford Road, Singapore 178902, Singapore"
Riccardo Boero,"Dipartimento di Science Economiche e Finanziarie “G. Prato”, Università degli Studi di Torino, University of Torino, and GECS-Research Group in Experimental and Computational Sociology, Italy"
Zack W. Almquist,"Department of Sociology, University of California - Irvine, 3151 Social Science Plaza A, Irvine, CA 92697-5100, United States"
Sharique Hasan,"Stanford University, Graduate School of Business, 655 Knight Way, Stanford, CA 94305, United States"
Shobhit Mathur,"255 Warren St. Apt 807, Jersey City, NJ 07302, United States"
Marshall Scott Poole,"Department of Communication, 1207 W. Oregon, University of Illinois at Urbana-Champaign, Urbana, IL 61801, United States"
Feniosky Peña-Mora,"School of Engineering & Applied Science, 510 Mudd, Columbia University, New York, NY 10027, United States"
Mark Hasegawa-Johnson,"Department of Electrical and Computer Engineering, Beckman Institute 2011, University of Illinois at Urbana-Champaign, Urbana, IL 61801, United States"
Gerhard Krug,"Chair of Empirical Economic Sociology, University of Erlangen-Nuremberg, Findelgasse 7/9, 90402 Nuremberg, Germany"
Johannes Zschache,"University of Leipzig, Institute of Sociology, Beethovenstraße 15, 04107 Leipzig, Germany"
Sven Banisch,"Mathematical Physics, Bielefeld University, Germany"
Tanya Araújo,"ISEG, Universidade Técnica de Lisboa, Technical University of Lisbon (TULisbon), Portugal"
Ramón Flores,"Department of Statistics, Universidad Carlos III de Madrid, University Carlos III of Madrid, Spain"
Maurice Koster,"Amsterdam School of Economics, University of Amsterdam, The Netherlands"
Elisenda Molina,"Department of Statistics, Universidad Carlos III de Madrid, University Carlos III of Madrid, Spain"
Joonmo Son,"National University of Singapore, Singapore"
Lea Ellwardt,"Department of Sociology and Interuniversity, Center for Social Science Theory and Methodology (ICS) at the University of Groningen, The Netherlands"
Rafael Wittek,"Department of Sociology and Interuniversity, Center for Social Science Theory and Methodology (ICS) at the University of Groningen, The Netherlands"
Nick Crossley,"Mitchell Centre for Social Network Analysis, School of Social Sciences, University of Manchester, UK"
Gemma Edwards,"Mitchell Centre for Social Network Analysis, School of Social Sciences, University of Manchester, UK"
Ellen Harries,"Mitchell Centre for Social Network Analysis, School of Social Sciences, University of Manchester, UK"
Rachel Stevenson,"Mitchell Centre for Social Network Analysis, School of Social Sciences, University of Manchester, UK"
Gijs Huitsing,"University of Groningen and Interuniversity Center for Social Science Theory and Methodology (ICS), The Netherlands"
Marijtje A. J. Van Duijn,"University of Groningen and Interuniversity Center for Social Science Theory and Methodology (ICS), The Netherlands"
Miia Sainio,"University of Turku, Finland"
Christina Salmivalli,"University of Turku, Finland"
Lijun Song,"Department of Sociology, Center for Medicine, Health, and Society, Vanderbilt University, PMB 351811, Nashville, TN 37235-1811, United States"
Tian-Yun Chang,"Department of Sociology, Vanderbilt University, United States"
Yanlong Zhang,"Guanghua School of Management, Peking University, Beijing 100871, China"
W. Scott Comulada,"Department of Psychiatry and Biobehavioral Sciences, University of California - Los Angeles, United States"
Stephen Q. Muth,"Quintus-ential Solutions, CO, United States"
Carl A. Latkin,"Department of Health Policy and Management, Johns Hopkins Bloomberg School of Public Health, Johns Hopkins University, Johns Hopkins University, United States"
Johannes Illenberger,"Berlin Institute of Technology, Group of Transport Systems Planning and Transport Telematics, Salzufer 17–19, D-10587 Berlin, Germany"
Gunnar Flötteröd,"KTH – Royal Institute of Technology, Department of Transport Science, Teknikringen 72, 114 28 Stockholm, Sweden"
Tina Kogovsek,"University of Ljubljana, Faculty of Arts, Aškerčeva 2 and Faculty of Social Sciences, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Germà Coenders,"University of Girona, Department of Economics, Faculty Building of Economics and Business, Campus Montilivi, 17071 Girona, Spain"
Valentina Hlebec,"University of Ljubljana, Faculty of Social Sciences, Kardeljeva pl. 5, 1000 Ljubljana, Slovenia"
Inês Peceguina,"UIPCDE, ISPA- Instituto Universitário de Ciências Psicológicas, ISPA University Institute of Psychological Sciences, Sociais e da Vida, Rua Jardim do Tabaco 34, 1149-041, Lisboa, Portugal"
Juan I. Casse,"Department of Computer Science and Engineering, University of California - Riverside, CA 92521, USA"
Christian R. Shelton,"Department of Computer Science and Engineering, University of California - Riverside, CA 92521, USA"
Jochem Tolsma,"Department of Sociology/ICS, Radboud University Nijmegen, P.O. Box 9104, 6500 HE Nijmegen, The Netherlands"
Ioana van Deurzen,"Department of Sociology, Tilburg University, P.O. Box 90153, 5000 LE Tilburg, The Netherlands"
Francisco J. Granados,"Institut Barcelona d'Estudis Internacionals (IBEI), Barcelona, Spain"
David Knoke,"Department of Sociology, University of Minnesota, Minneapolis, United States"
Mario Ventresca,
Dionne M. Aleman,
Giovanna Miritello,"Telefónica Research, Ronda de la Comunicación, s/n, 28050 Madrid, Spain"
Esteban Moro,"Departamento de Matemáticas & GISC, Universidad Carlos III de Madrid, University Carlos III of Madrid, Leganés, 28911 Madrid, Spain"
Rubén Lara,"Telefónica Research, Ronda de la Comunicación, s/n, 28050 Madrid, Spain"
Rocío Martínez-López,"Telefónica Research, Ronda de la Comunicación, s/n, 28050 Madrid, Spain"
John Belchamber,"Telefónica Research, Ronda de la Comunicación, s/n, 28050 Madrid, Spain"
Sam G. B. Roberts,"Department of Psychology, University of Chester, Cheyney Road, Chester CH1 4BJ, UK"
Catherine J. Chu,"Massachusetts General Hospital, Department of Neurology, United States"
Matt T. Bianchi,"Massachusetts General Hospital, Department of Neurology, United States"
Dehai Liu,"Center of Econometric Analysis and Forecasting, Dongbei University of Finance & Economics, Shahekou District, Dalian 116025, China"
Weiguo Wang,"Center of Econometric Analysis and Forecasting, Dongbei University of Finance & Economics, Shahekou District, Dalian 116025, China"
Emma S. Spiro,"Department of Sociology, University of California - Irvine, CA 92697, United States"
Todd E. Malinick,"Energy Market Innovations, Inc., United States"
David B. Tindall,"Department of Sociology, and Department of Forest Resources Management, University of British Columbia, Canada"
Mario Diani,"ICREA-Universitat Pompeu Fabra, Barcelona, Spain"
Tore Opsahl,"Imperial College Business School, Imperial College London, London, United Kingdom"
Jan Kleinnijenhuis,"VU University Amsterdam, Vrije University Amsterdam, The Netherlands"
Wouter de Nooy,"ASCoR, University of Amsterdam, The Netherlands"
Anne-Marie Niekamp,"Department of Sexual Health, Infectious Diseases and Environmental Health, South Limburg Public Health Service, PO Box 2022, 6160 HA Geleen, The Netherlands"
Liesbeth A. G. Mercken,"Department of Health Promotion, School of Public Health and Primary Care (CAPHRI), Maastricht University, PO Box 616, 6200 MD Maastricht, The Netherlands"
Christian J. P. A. Hoebe,"Department of Sexual Health, Infectious Diseases and Environmental Health, South Limburg Public Health Service, PO Box 2022, 6160 HA Geleen, The Netherlands"
Nicole H. T. M. Dukers-Muijrers,"Department of Sexual Health, Infectious Diseases and Environmental Health, South Limburg Public Health Service, PO Box 2022, 6160 HA Geleen, The Netherlands"
Guido Conaldi,"Centre for Business Network Analysis, University of Greenwich (UK), Park Row, London SE10 9LS, United Kingdom"
Mengxiao Zhu,"School of Communication and Information, Rutgers University, New Brunswick, USA"
Yun Huang 0001,"Department of Industrial Engineering and Management Sciences, Northwestern University, Evanston, USA"
Noshir S. Contractor,"Department of Industrial Engineering and Management Sciences, Northwestern University, Evanston, USA"
Vanina Jasmine Torló,"Department of Systems Management and Strategy, The Business School, University of Greenwich, London, United Kingdom"
Hwai-Chung Ho,"Institute of Statistical Science, Academia Sinica, Taipei 115, Taiwan"
Hsiu Man Chen,"Institute of Statistical Science, Academia Sinica, Taipei 115, Taiwan"
Francois Collet,"ESADE Business School, Avenue Pedralbes 60-62, Barcelona 08034, Spain"
Peter Hedström,"Institute for Futures Studies, Box 591, SE-101 31 Stockholm, Sweden"
Binh Phan,"Department of Strategy and Logistics, BI Norwegian Business School, Nydalsveien 37, 0484 Oslo, Norway"
Kenth Engø-Monsen,"Telenor Group, Research and Future Studies, Snarøyveien 30, N-1331 Fornebu, Norway"
Øystein D. Fjeldstad,"Department of Strategy and Logistics, BI Norwegian Business School, Nydalsveien 37, 0484 Oslo, Norway"
Jennifer B. Unger,"Institute for Prevention Research, Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States"
Daniel W. Soto,"Institute for Prevention Research, Department of Preventive Medicine, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States"
Daniella Meeker,"Rand Corporation, Santa Monica, CA, United States"
Alexia Gaudeul,"Max Planck Institute of Economics, Jena, Germany"
Caterina Giannetti,"Department of Economics, University of Bologna, Italy"
Jennifer L. Merluzzi,"A.B. Freeman School of Business, Tulane University, 7 McAlister Drive, New Orleans, LA 70118, United States"
Andrea Austin,"Department of Biostatistics, Brown University, Box G-121S-7, Providence, RI 02912, United States"
Crystal Linkletter,"MathWorks, 3 Apple Hill Dr, Natick, MA 01760, United States"
Zhijin Wu,"Department of Biostatistics, Brown University, Box G-121S-7, Providence, RI 02912, United States"
Adriana P. A. van Beek,"NIVEL: Netherlands Institute for Health Services Research, PO BOX 1568, 3500 BN Utrecht, The Netherlands"
Cordula Wagner,"NIVEL: Netherlands Institute for Health Services Research, PO BOX 1568, 3500 BN Utrecht, The Netherlands"
Dinnus H. M. Frijters,"EMGO+, Department of Nursing Home Medicine, VU University Medical Center, Van der Boechorststraat 7, 1081 BT Amsterdam, The Netherlands"
Miel W. Ribbe,"EMGO+, Department of Nursing Home Medicine, VU University Medical Center, Van der Boechorststraat 7, 1081 BT Amsterdam, The Netherlands"
Peter P. Groenewegen,"NIVEL: Netherlands Institute for Health Services Research, PO BOX 1568, 3500 BN Utrecht, The Netherlands"
Danching Ruan,"Hong Kong Baptist University, Hong Kong"
Gina Lai,"Hong Kong Baptist University, Hong Kong"
Vittorio Fuccella,"Department of Informatics, University of Salerno, Italy"
Susanna Zaccarin,"Department of Economics, Business, Mathematics and Statistics “B. de Finetti”, University of Trieste, Italy"
Xiumei Zhu,"Brian Lamb School of Communication, Purdue University, Beering Hall of Liberal Arts and Education, Room 2114, 100 North University Street, West Lafayette, IN 47907, United States"
Sang Eun Woo,"Department of Psychological Sciences, Purdue University, 703 Third Street, West Lafayette, IN 47907, United States"
Caitlin Porter,"Department of Psychological Sciences, Purdue University, 703 Third Street, West Lafayette, IN 47907, United States"
Michael Brzezinski,"Office of International Students and Scholars, Purdue University, Young Hall, Room #120, 155 S. Grant Street, West Lafayette, IN 47907-2114, United States"
Camille Roth,"Centre Marc Bloch, CNRS/MAEE/HU, Friedrichstr 191, D-10117 Berlin, Germany"
Floriana Gargiulo,"Centre d'analyse et de mathématique sociales, CNRS/EHESS, 190 avenue de France, F-75013 Paris, France"
Arnaud Bringé,"Institut National d'Etudes Démographiques, 133 boulevard Davout, F-75011 Paris, France"
Klaus Hamberger,"Laboratoire d'Anthropologie Sociale, Collège de France/CNRS/EHESS, 52 Rue du Cardinal Lemoine, F-75005 Paris, France"
Michael McBride,"Department of Economics, University of California - Irvine, United States"
Michael Caldara,"Department of Economics, University of California - Irvine, United States"
Shigemi Kagawa,"Faculty of Economics, Kyushu University, Fukuoka, Japan"
Shunsuke Okamoto,"Faculty of Economics, Kyushu University, Fukuoka, Japan"
Sangwon Suh,"Bren School of Environmental Science and Management, The University of California - Santa Barbara, USA"
Yasushi Kondo,"Faculty of Political Science and Economics, Waseda University, Tokyo, Japan"
Keisuke Nansai,"Research Center for Material Cycles and Waste Management, National Institute for Environmental Studies, Tsukuba, Japan"
James Nastos,"Department of Computer Science, University of British Columbia Okanagan, Kelowna, British Columbia, Canada V1V 1V7"
Yong Gao 0001,"Department of Computer Science, University of British Columbia Okanagan, Kelowna, British Columbia, Canada V1V 1V7"
Theo A. Arentze,"Faculty of the Built environment, Urban Planning Group, Eindhoven University of Technology, The Netherlands"
Matthias Kowald,"Institute for Transport Planning and Systems (IVT), ETH Zurich, 8093 Zurich, Switzerland"
Kay W. Axhausen,"Institute for Transport Planning and Systems (IVT), ETH Zurich, 8093 Zurich, Switzerland"
Enrico Bozzo,"Department of Mathematics and Computer Science, University of Udine, Via delle Scienze 206, 33100 Udine, Italy"
Massimo Franceschet,"Department of Mathematics and Computer Science, University of Udine, Via delle Scienze 206, 33100 Udine, Italy"
Nicholas Charron,"Department of Political Science, The Quality of Government Institute, University of Gothenburg, Sweden"
Paul D. McLean,"Rutgers University, 26 Nichol Avenue, New Brunswick, NJ 08901, United States"
Joeri M. Mol,"Department of Management and Marketing, The University of Melbourne, Melbourne, Australia"
Klarita Gërxhani,"Department of Sociology, Amsterdam Centre for Inequality Studies, University of Amsterdam, Oudezijds Achterburgwal 185, 1012 DK Amsterdam, The Netherlands"
Jordi Brandts,"Department of Business Economics, U. Autònoma de Barcelona, Institut d'Anàlisi Econòmica (CSIC) and Barcelona GSE, Campus UAB, 08193 Bellaterra, Barcelona, Spain"
Arthur Schram,"CREED, Amsterdam School of Economics, University of Amsterdam, Roetersstraat 11, 1018 WB Amsterdam, The Netherlands"
Rami Puzis,"University of Maryland - College Park Institute for Advanced Computer Studies (UMIACS), 2119 AVW Building, College Park, MD 20742, USA"
Manish Purohit,"University of Maryland - College Park Institute for Advanced Computer Studies (UMIACS), 2119 AVW Building, College Park, MD 20742, USA"
V. S. Subrahmanian,"University of Maryland - College Park Institute for Advanced Computer Studies (UMIACS), 2119 AVW Building, College Park, MD 20742, USA"
Jacob Dijkstra,"ICS/University of Groningen; Department of Sociology, Grote Rozenstraat 31, 9712 TG Groningen, The Netherlands"
Marcel A. L. M. van Assen,"Tilburg University; Tilburg School of Social and Behavioral Sciences, Department of Methodology and Statistics, Warandelaan 2, 5037 AB Tilburg, The Netherlands"
Sara Geven,"Department of Sociology, Utrecht University, Padualaan 14, 3584 CH Utrecht, The Netherlands"
Jeroen Weesie,"Department of Sociology, Utrecht University, Padualaan 14, 3584 CH Utrecht, The Netherlands"
Lindsey Trimble O'Connor,"California State University Channel Islands, United States"
Juliette Stehlé,"Aix Marseille Université, CNRS, CPT, UMR 7332, 13288 Marseille, France"
François Charbonnier,"ENSAE, 92245 Malakoff cedex, France"
Tristan Picard,"ENSAE, 92245 Malakoff cedex, France"
Ciro Cattuto,"Data Science Laboratory, Institute for Scientific Interchange (ISI) Foundation, Torino, Italy"
Alain Barrat,"Aix Marseille Université, CNRS, CPT, UMR 7332, 13288 Marseille, France"
Ryan M. Acton,"Department of Sociology, University of Massachusetts, Amherst, United States"
Eran Shor,"Department of Sociology, McGill University, Room 713, Leacock Building, 855 Sherbrooke Street West, Montreal, Quebec H3A 2T7, Canada"
David J. Roelfs,"Department of Sociology, University of Louisville, Louisville, KY, USA"
Tamar Yogev,"Faculty of Management, University of Haifa, Haifa, Israel"
Rosa M. V. Figueiredo,"CIDMA, Department of Mathematics, University of Aveiro, 3810-193 Aveiro, Portugal"
Gisele Moura,"Department of Mathematics and Statistics, Rio de Janeiro State University, 20550-900 Rio de Janeiro, Brazil"
Rebecca Nash,"Simon Fraser University, 8888 University Drive, Burnaby, BC V5A 1S6, Canada"
Rebecca Jenkinson,"Centre for Population Health, Burnet Institute, 85 Commercial Road, Melbourne, VIC 3004, Australia"
Philippa E. Pattison,"Melbourne School of Psychological Sciences, University of Melbourne, VIC 3010, Australia"
Rachel Sacks-Davis,"Centre for Population Health, Burnet Institute, 85 Commercial Road, Melbourne, VIC 3004, Australia"
